"","countries","text"
"1","Denmark","34,000 [16,000 - 49,000]"
"2","Italy","630,000 [510,000 - 750,000]"
"3","Germany","560,000 [370,000 - 780,000]"
"4","Spain","450,000 [370,000 - 540,000]"
"5","United_Kingdom","470,000 [370,000 - 580,000]"
"6","France","690,000 [550,000 - 830,000]"
"7","Norway","12,000 [2,900 - 24,000]"
"8","Belgium","110,000 [85,000 - 130,000]"
"9","Austria","65,000 [39,000 - 86,000]"
"10","Sweden","26,000 [13,000 - 46,000]"
"11","Switzerland","53,000 [33,000 - 73,000]"
"2.5%","Total","3,100,000 [2,800,000 - 3,500,000]"
