"","countries","text"
"1","Denmark","60,000 [46,000 - 77,000]"
"2","Italy","2,800,000 [2,200,000 - 3,500,000]"
"3","Germany","710,000 [550,000 - 930,000]"
"4","Spain","2,600,000 [2,100,000 - 3,200,000]"
"5","United_Kingdom","3,400,000 [2,700,000 - 4,400,000]"
"6","France","2,200,000 [1,700,000 - 2,900,000]"
"7","Norway","25,000 [19,000 - 33,000]"
"8","Belgium","930,000 [710,000 - 1,200,000]"
"9","Austria","69,000 [52,000 - 90,000]"
"10","Sweden","380,000 [280,000 - 520,000]"
"11","Switzerland","170,000 [130,000 - 210,000]"
"2.5%","Total","1.3e+07 [1.2e+07 - 1.5e+07]"
